                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.91201,                 1.0734,                 1.5352,                0.74207,                0.84185,                0.87151,                0.63707,                 1.0043,                 0.9964,                 1.6141,             0.00084162,             0.00084162,             0.00084162
                     35,                0.93673,                 1.0622,                 1.5461,                 0.7457,                0.77862,                0.84219,                0.60762,                 1.0387,                 1.1049,                 1.6786,             0.00082925,             0.00082925,             0.00082925
                     36,                0.89015,                 1.0314,                 1.4982,                0.73202,                0.70137,                0.75962,                0.51772,                 1.1627,                  1.349,                 1.8142,             0.00081688,             0.00081688,             0.00081688
                     37,                0.85144,                 1.0693,                  1.471,                0.76375,                0.70603,                0.81001,                0.56647,                 1.1215,                 1.1563,                 1.6809,              0.0008045,              0.0008045,              0.0008045
                     38,                0.89748,                 1.0374,                 1.5061,                0.82654,                0.87151,                0.90356,                0.68286,                0.91671,                0.92103,                 1.5389,             0.00079213,             0.00079213,             0.00079213
                     39,                0.87744,                0.98449,                 1.4985,                0.72432,                0.77435,                0.77707,                0.55642,                 1.0462,                 1.1858,                 1.6668,             0.00077975,             0.00077975,             0.00077975
                     40,                0.84439,                0.97591,                 1.4635,                0.79265,                0.80832,                0.86313,                0.64521,                0.90509,                0.93905,                 1.5183,             0.00076738,             0.00076738,             0.00076738
                     41,                0.83343,                0.94125,                 1.4545,                 0.8536,                0.73913,                0.84826,                0.61005,                 1.0069,                 1.0336,                 1.6329,               0.000755,               0.000755,               0.000755
                     42,                0.84486,                0.96514,                 1.4476,                0.79377,                0.72994,                0.84076,                 0.6385,                0.91564,                 1.0445,                 1.5244,             0.00074263,             0.00074263,             0.00074263
                     43,                  0.802,                0.89678,                 1.4195,                0.80622,                0.83794,                0.89073,                0.65757,                0.94964,                0.97435,                 1.5686,             0.00073025,             0.00073025,             0.00073025
                     44,                0.77639,                0.86566,                 1.4031,                0.89282,                0.75004,                0.87749,                0.68372,                0.87465,                0.87464,                 1.4646,             0.00071788,             0.00071788,             0.00071788
                     45,                0.80893,                 0.9284,                 1.4355,                0.81813,                0.70362,                0.78805,                0.57798,                 1.0119,                 1.2672,                 1.6605,              0.0007055,              0.0007055,              0.0007055
                     46,                0.80189,                0.92298,                 1.4243,                0.82561,                0.79547,                0.89515,                0.67251,                0.86787,                0.89371,                  1.491,             0.00069313,             0.00069313,             0.00069313
                     47,                0.78639,                0.86546,                 1.4046,                0.80191,                0.77589,                0.87807,                0.65585,                0.91838,                0.92777,                  1.506,             0.00068075,             0.00068075,             0.00068075
                     48,                0.76991,                0.86313,                 1.3769,                0.81814,                0.76976,                0.87831,                0.66581,                0.93673,                0.89197,                 1.5498,             0.00066838,             0.00066838,             0.00066838
                     49,                0.74845,                0.83715,                 1.3801,                0.73524,                0.81721,                0.86114,                0.64998,                 0.8746,                0.97931,                 1.5171,               0.000656,               0.000656,               0.000656
                     50,                0.74139,                0.82757,                 1.3647,                0.78005,                0.76583,                0.82372,                0.60369,                0.97822,                 1.0058,                 1.5778,             0.00064362,             0.00064362,             0.00064362
                     51,                0.77024,                0.86217,                 1.3924,                0.88438,                 0.8057,                0.90246,                0.69272,                0.87338,                0.82616,                 1.4955,             0.00063125,             0.00063125,             0.00063125
                     52,                0.74108,                0.82743,                 1.3759,                0.84626,                0.82142,                0.88707,                0.67731,                0.86437,                0.85546,                 1.4627,             0.00061887,             0.00061887,             0.00061887
                     53,                0.76771,                0.82989,                 1.3951,                0.81053,                0.81828,                0.85877,                0.65964,                   0.85,                0.91589,                 1.4299,              0.0006065,              0.0006065,              0.0006065
                     54,                0.72397,                0.83259,                  1.357,                 0.8305,                0.78424,                 0.8937,                 0.6912,                0.84896,                0.89208,                  1.456,             0.00059413,             0.00059413,             0.00059413
                     55,                0.73113,                0.84107,                 1.3568,                0.81546,                0.81562,                0.86277,                0.66399,                0.84863,                0.91133,                 1.4245,             0.00058175,             0.00058175,             0.00058175
                     56,                0.72234,                0.81981,                 1.3451,                0.78094,                0.90236,                0.90644,                0.70215,                0.83356,                0.77991,                 1.4408,             0.00056938,             0.00056938,             0.00056938
                     57,                0.73731,                0.81528,                 1.3558,                0.86335,                0.80425,                0.88427,                0.68288,                0.86507,                0.87872,                 1.4897,               0.000557,               0.000557,               0.000557
                     58,                0.70262,                0.78016,                 1.3366,                0.87928,                 0.8346,                0.92286,                 0.7249,                0.79716,                0.71845,                  1.395,             0.00054463,             0.00054463,             0.00054463
                     59,                0.71049,                0.76113,                 1.3357,                0.84381,                0.84905,                0.89418,                 0.7157,                0.78659,                0.78616,                 1.4074,             0.00053225,             0.00053225,             0.00053225
